"Location","year","forst_ha_buff100","forst_ha_buff200","forst_ha_buff20","forst_ha_buff300","forst_ha_buff50","diff_ha_forst_20k_1yr","diff_ha_forst_20k_2yr","diff_ha_forst_20k_3yr","diff_ha_forst_20k_4yr","diff_ha_forst_20k_5yr","diff_ha_forst_50k_1yr","diff_ha_forst_50k_2yr","diff_ha_forst_50k_3yr","diff_ha_forst_50k_4yr","diff_ha_forst_50k_5yr","diff_ha_forst_100k_1yr","diff_ha_forst_100k_2yr","diff_ha_forst_100k_3yr","diff_ha_forst_100k_4yr","diff_ha_forst_100k_5yr","diff_ha_forst_200k_1yr","diff_ha_forst_200k_2yr","diff_ha_forst_200k_3yr","diff_ha_forst_200k_4yr","diff_ha_forst_200k_5yr","diff_ha_forst_300k_1yr","diff_ha_forst_300k_2yr","diff_ha_forst_300k_3yr","diff_ha_forst_300k_4yr","diff_ha_forst_300k_5yr","yrfac","spillprd","spillyr"
"Ekata",2018,124260.649082713,776071.056833175,3061990.20682018,11665389.9006748,25367037.9086254,-2393.46354572568,-1367.69345470099,-1510.16152289789,-1510.16152289789,-1624.135977461,9478.87547080591,17352.6107065305,38209.935890805,38209.935890805,36918.2254058383,9.49787121299596,75.9829697059904,75.9829697059904,75.9829697059904,75.9829697059904,-1063.76157588197,-997.276477388921,-1006.77434860298,-1006.77434860298,-1006.77434860298,-455.897818226367,2497.94012915716,7189.88850840926,7189.88850840926,6743.48856141604,"2018","Ekata_2018","N"
"Ekata",2019,124260.649082713,776090.052575602,3062484.09612327,11669056.0789631,25361899.5602991,493.88930308586,-1899.57424263982,-873.804151615128,-1016.27221981203,-1016.27221981203,-5138.34832631424,4340.52714449167,12214.2623802163,33071.5875644907,33071.5875644907,0,9.49787121299596,75.9829697059904,75.9829697059904,75.9829697059904,18.9957424269523,-1044.76583345502,-978.280734961969,-987.778606176027,-987.778606176027,3666.17828830145,3210.28047007509,6164.11841745861,10856.0667967107,10856.0667967107,"2019","Ekata_2019","N"
"Ekata",2020,124260.649082713,776090.052575602,3064098.73422952,11681232.3498584,25380895.3027255,1614.63810624694,2108.5274093328,-284.936136392877,740.833954631817,598.365886434913,18995.7424264513,13857.3941001371,23336.269570943,31210.0048066676,52067.329990942,0,0,9.49787121299596,75.9829697059904,75.9829697059904,0,18.9957424269523,-1044.76583345502,-978.280734961969,-987.778606176027,12176.2708953656,15842.4491836671,15386.5513654407,18340.3893128242,23032.3376920763,"2020","Ekata_2020","N"
"Ekata",2021,124127.678885728,775605.661143727,3063044.47052484,11678373.4906232,25359363.6286852,-1054.26370467292,560.374401574023,1054.26370465988,-1339.1998410658,-313.429750041105,-21531.674040366,-2535.93161391467,-7674.27994022891,1804.595530577,9678.3307663016,-132.970196984999,-132.970196984999,-132.970196984999,-123.472325772003,-56.987227279009,-484.391431874945,-484.391431874945,-465.395689447992,-1529.15726532997,-1462.67216683691,-2858.85923522897,9317.41166013665,12983.5899484381,12527.6921302117,15481.5300775953,"2021","Ekata_2021","N"
"Ekata",2022,124127.678885728,775368.214363396,3058542.47956978,11668676.1641145,25328998.9344164,-4501.99095506594,-5556.25465973886,-3941.61655349191,-3447.72725040605,-5841.19079613173,-30364.6942687593,-51896.3683091253,-32900.625882674,-38038.9742089882,-28560.0987381823,0,-132.970196984999,-132.970196984999,-132.970196984999,-123.472325772003,-237.446780331084,-721.838212206028,-721.838212206028,-702.842469779076,-1766.60404566105,-9697.32650873624,-12556.1857439652,-379.914848599583,3286.26343970187,2830.3656214755,"2022","Ekata_2022","N"
"Kikwit",1992,596399.368372637,3326557.8147424,10835889.7949611,48665903.5096763,59259956.6376818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1992","Kikwit_1992","N"
"Kikwit",1993,596399.3683422,3326557.8147424,10835889.7949611,48665903.5096763,59259928.1427287,0,NA,NA,NA,NA,-28.4949531108141,NA,NA,NA,NA,-3.04373679682612e-05,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,"1993","Kikwit_1993","N"
"Kikwit",1994,596399.3683422,3326557.8147424,10835889.7949611,48665846.5197701,59259871.1528225,0,0,NA,NA,NA,-56.9899061992764,-85.4848593100905,NA,NA,NA,0,-3.04373679682612e-05,NA,NA,NA,0,0,NA,NA,NA,-56.9899061992764,-56.9899061992764,NA,NA,NA,"1994","Kikwit_1994","S"
"Kikwit",1995,596399.3683422,3326557.8147424,10833724.1785256,48722722.4461566,59342193.072327,-2165.61643555015,-2165.61643555015,-2165.61643555015,NA,NA,82321.9195044488,82264.9295982495,82236.4346451387,NA,NA,0,0,-3.04373679682612e-05,NA,NA,0,0,0,NA,NA,56875.9263865575,56818.9364803582,56818.9364803582,NA,NA,"1995","Kikwit_1995","N"
"Kikwit",1996,596399.3683422,3326557.8147424,10833724.1785256,48783074.7568214,59492076.5256304,0,-2165.61643555015,-2165.61643555015,-2165.61643555015,NA,149883.453303449,232205.372807898,232148.382901698,232119.887948588,NA,0,0,0,-3.04373679682612e-05,NA,0,0,0,0,NA,60352.3106647655,117228.237051323,117171.247145124,117171.247145124,NA,"1996","Kikwit_1996","N"
