"Location","buffer","Description","Value","year","cumsum_diff_pland","year_fac","color"
"Kikwit","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Likati","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Luebo","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Mbandaka","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
"NKivu","200","Urban areas",190,1992,NA,"1991_1992","#C31400"
"Bikoro","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Boende","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Kikwit","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Likati","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Luebo","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Mbandaka","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"NKivu","200","Water bodies",210,1992,NA,"1991_1992","#0046C8"
"Mbandaka","20","Bare areas",200,1992,NA,"1991_1992","#FFF5D7"
"Kikwit","20","Cropland, irrigated or post-flooding",20,1992,NA,"1991_1992","#AAF0F0"
"Bikoro","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Boende","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Kikwit","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Likati","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Luebo","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Mbandaka","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"NKivu","20","Cropland, rainfed",10,1992,NA,"1991_1992","yellow1"
"Kikwit","20","Decidiuous shrubland",122,1992,NA,"1991_1992","#966400"
"NKivu","20","Grasslands",130,1992,NA,"1991_1992","#FFB432"
"Bikoro","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Boende","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Kikwit","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Likati","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Luebo","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Mbandaka","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"NKivu","20","Herbaceous cover",11,1992,NA,"1991_1992","gold1"
"Bikoro","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Boende","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Kikwit","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Likati","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Luebo","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Mbandaka","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"NKivu","20","Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",30,1992,NA,"1991_1992","#DCF064"
"Kikwit","20","Mosaic herbaceous cover (>50%) / tree and shrub (<50%)",110,1992,NA,"1991_1992","#BE9600"
