"Location","yrfac","buffer","year","forest_sum_ha","total","pct_buff"
"NKivu","2009","200",2009,7294081.10450506,75398614.7296953,9.67402535265987
"NKivu","2009","300",2009,15510334.8778517,169645273.176964,9.14280403302027
"NKivu","2009","50",2009,323807.148705074,4712438.35368992,6.87132911673056
"NKivu","2010","100",2010,1854793.48715297,18849297.4955101,9.84011997049111
"NKivu","2010","20",2010,7627.14911296747,753691.509481904,1.0119722747322
"NKivu","2010","200",2010,7272975.84257603,75398614.7296953,9.64603377482426
"NKivu","2010","300",2010,15481564.4735389,169645273.176964,9.12584487832413
"NKivu","2010","50",2010,309901.611592515,4712438.35368992,6.57624754602587
"NKivu","2011","100",2011,1853083.789967,18849297.4955101,9.83104962085937
"NKivu","2011","20",2011,7598.65415986797,753691.509481904,1.00819155639572
"NKivu","2011","200",2011,7271731.56295735,75398614.7296952,9.64438350628401
"NKivu","2011","300",2011,15492354.5624459,169645273.176964,9.13220526120125
"NKivu","2011","50",2011,308856.796645533,4712438.35368992,6.55407611653303
"NKivu","2012","100",2012,1846862.39187361,18849297.4955101,9.7980436263661
"NKivu","2012","20",2012,7570.15920676846,753691.509481904,1.00441083805923
"NKivu","2012","200",2012,7265576.65308786,75398614.7296953,9.6362203458711
"NKivu","2012","300",2012,15482238.8540956,169645273.176964,9.1262424022539
"NKivu","2012","50",2012,305361.415731994,4712438.35368992,6.479902606957
"NKivu","2013","100",2013,1843091.55974677,18849297.4955101,9.77803846634495
"NKivu","2013","20",2013,7570.15920676846,753691.509481904,1.00441083805923
"NKivu","2013","200",2013,7262043.27890352,75398614.7296954,9.63153408711553
"NKivu","2013","300",2013,15479522.3352334,169645273.176964,9.12464110867746
"NKivu","2013","50",2013,303195.799296432,4712438.35368992,6.43394728037183
"NKivu","2014","100",2014,1827029.90451635,18849297.4955101,9.69282757063786
"NKivu","2014","20",2014,7551.16257136879,753691.509481904,1.00189035916824
"NKivu","2014","200",2014,7245031.79190312,75398614.7296953,9.60897201875209
"NKivu","2014","300",2014,15459262.4235797,169645273.176964,9.11269859399709
"NKivu","2014","50",2014,296148.047563154,4712438.35368992,6.28439091052013
"NKivu","2015","100",2015,1827020.40619865,18849297.4955101,9.69277717980657
